OBJECTID,PRECINCTID,NAME,COUNTY,POLLINGID,LASTUPDATE,LASTEDITOR,GlobalID,Shape__Area,Shape__Length
38,100-47,LO03,Peoria County,26,,,81190511-c290-4a15-8870-d418038e49a0,223070319.632813,91765.26047403
39,100-50,ME03,Peoria County,7,,,64ca1222-1823-4b26-a2f1-0a4e2185f22c,197872294.254883,75631.8081188239
40,100-152,RA01,Peoria County,85,,,ef2e56a5-4240-4ae4-bb44-0e316e5ac8ca,150785274.861816,72551.8594652427
41,100-153,RA02,Peoria County,85,,,5ca335ed-c817-409f-9fcc-7bf1f7a193ea,365516918.724365,148061.76972135
42,100-154,RA03,Peoria County,85,,,a4ceeb0d-d81a-4a58-a14c-61a1d77c247a,475188193.925781,99440.0779346477
43,100-155,RI01,Peoria County,86,,,1830d173-4e3c-4f9f-8f2c-a4f406bba01e,16449481.3266602,36512.4266762674
44,100-156,RI02,Peoria County,86,,,1dc622e0-b30f-4291-b8e1-95e7d3221349,22521625.5805664,36914.7101813582
45,100-157,RI03,Peoria County,79,,,fe4751d1-1d35-4ec4-933d-1e4ea4b210ef,23235276.3395996,42291.012772949
46,100-158,RI04,Peoria County,86,,,41438ce0-5dbe-4718-8175-074873442911,10486328.6809082,19895.2384606011
47,100-159,RI05,Peoria County,55,,,64d275d1-fafa-4f61-9769-5410595603ba,7948422.79541016,12474.9873922007
48,100-160,RO01,Peoria County,89,,,788683b7-a1e0-4af4-a693-0717d95233af,692700028.117676,123467.723591311
49,100-161,RO02,Peoria County,89,,,b4336a8c-927f-488a-aca2-5a62800ac8e4,325657872.229248,87647.7083558434
50,100-162,TI01,Peoria County,90,,,ce2a9bfb-24b9-4df5-bb4b-1b10fe3cdf9f,511729899.395996,96863.4604340132
51,100-163,TI02,Peoria County,90,,,75b3a9e9-aee6-430b-8866-d310bcb34a59,25219334.512207,29629.55361738
52,100-164,TI03,Peoria County,10,,,6f0b5e84-42f6-406d-930d-d196061ba5b6,489661193.498535,133311.88138044
53,100-165,TR01,Peoria County,92,,,2eb556f6-86e0-4bf3-80c5-1f4347e0478d,1002958228.18384,126706.088222638
54,100-166,WP01,Peoria County,93,,,2b8a9d18-370b-4e2a-8d12-a3d12cfb1c3b,76385303.3234863,56061.7218336779
55,100-167,WP02,Peoria County,93,,,f90f1b73-2a4e-40a8-acb5-0165590c4170,8195440.90185547,16360.811628859
56,100-168,WP03,Peoria County,94,,,aaa28890-2c2e-4727-905f-80342d1855b4,5273474.13061523,10350.3952818171
57,100-169,WP04,Peoria County,94,,,4704e57c-d65a-4df2-9bad-07d5347d1419,5309647.32373047,11820.2847813973
58,100-2,BR01,Peoria County,2,,,7582dc9b-3b00-4a38-9123-d4057b711f98,1016471126.07983,127483.843582486
59,100-3,CH01,Peoria County,3,,,0d73311f-e519-4159-853f-9dea9b252e7d,342628808.003418,77241.8425646413
60,100-4,CH02,Peoria County,3,,,c1cfaee2-60c1-41b6-a66a-1b9806efcf5f,6261908.46948242,15504.5982577732
61,100-5,CH03,Peoria County,3,,,ad38b5b1-10b0-4504-b318-8008382cd3d4,19219951.2478027,21466.5979208093
