OBJECTID,TYPE,Status,Comments,Date_Modified,Compiler,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Shape__Area,Shape__Length
20,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,48993f4f-09bc-402b-9545-ff4db8e17ffc,94.924560546875,46.8907610081607
21,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,f74425e9-8c71-4022-96b1-6ae6365cccf4,91.906005859375,44.7665310027686
22,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,08d161df-ba00-45b5-a10b-b28a54369a02,305.321533203125,101.4293622064
23,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,1e644772-3a10-4198-b15f-056f3431a4d1,338.940673828125,172.323554426145
24,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,9cb0b181-172e-4fe8-af92-737ee0072099,553.01123046875,165.208619802581
25,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,6bde1129-af12-473e-bbba-cc04640eb3fa,862.667236328125,273.872395672037
26,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,a0dd1790-eb49-4893-b651-3344a092ff88,1472.91137695313,158.25838539472
27,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,7b2d216f-968b-4e73-b590-29ca50ef8a06,18450.08984375,727.986330859837
28,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,ec1d603c-311b-458a-be73-a1687fcd1544,2518.78759765625,421.372499614584
29,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,38dcbc9e-72a0-4f4e-a1a9-9ae34f70d955,6349.837890625,487.107881275902
30,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,5b9f59d8-c27f-4f88-9ee6-f327dcd33267,8334.9423828125,507.990243703167
31,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,fe34101a-53a2-4c8a-89d5-dccc0d9c1404,726.64111328125,160.381419113451
32,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,d4a64169-03c6-4ec4-aa18-423fcf6afd6b,79.951416015625,41.3150070292005
33,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,dcaac0cb-4432-496f-ad4d-d932df70b197,103.0810546875,49.7381705994604
34,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,40178985-5712-4a06-84a1-28d7b1050fe8,96.478271484375,44.8861818214737
35,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,c820dd7b-0a48-4460-9337-c756ce91d167,221.363037109375,78.2392008619792
36,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,dea4bf29-60c0-4928-a491-a37f5ae75e48,288.4130859375,98.504230628608
37,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,f1b7a3be-6cb3-4122-893c-d24b58022e47,1286.75756835938,203.985344860723
38,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,5b3c4957-b3f2-4486-9159-33b32ff093fd,424.142578125,88.9466723191927
39,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,5166eb7f-21d2-40bd-8290-e75fc7f2a561,146.013427734375,53.1271436895262
40,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,67c84f54-6749-4a46-95ab-b685b71590ab,575.544677734375,102.635809163372
41,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,86fa575b-8bc1-4be4-ac60-73bb64520786,1839.75341796875,218.420096896246
42,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,3a16bb7e-c617-4f40-a5d4-51623dd7914b,49.969482421875,31.8747168790034
43,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,5b60f6d4-a2b8-41dd-8684-3603795c03a1,5327.7587890625,325.744125681489
44,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,9ef0189f-3e5d-45c4-92d2-5dc7b62da73f,121.328369140625,44.4448692180893
45,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,47c8a656-3267-48dc-9e44-43b4fd656da3,5531.7255859375,338.114986337431
46,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,a38dbbd6-1976-411b-919c-45f2521c9c74,395.4541015625,161.74996674209
47,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,e21239a3-7659-4d6a-a5fe-e8d6fd85b183,146.902587890625,112.545868514526
48,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,b3743421-58ab-4cf4-8227-94fbb6bfa08e,211.75,58.8945731680606
49,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,64023d67-5ada-4447-99f1-b3486a4d3000,19.589599609375,19.4076201814564
50,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,15c90ab2-5102-4796-b411-04a126a3119a,41.30078125,26.8812342561251
51,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,2bb1bc6b-044d-4536-ba49-7994415f9c63,255.091552734375,127.557436158231
52,Bridge Outline Features,Updated,,2012-10-26T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,45e5570b-1980-4d1e-85a8-9c80b2840a9a,683.229736328125,109.167220639718
53,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,d1969aaf-be5b-4fdc-b1ef-48b0b805d46e,154.72802734375,54.6729349982277
54,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,2a8ca2ad-f0aa-4dc1-bce9-c7c0cdffa920,31.78271484375,28.2455995782811
55,Bridge Outline Features,Updated,,2012-10-30T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,d3064d09-c74b-4656-b295-6ae9a038fe70,258.729736328125,117.565720513512
56,Bridge Outline Features,Updated,,2012-10-30T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,ce1ebdad-80b7-4e6f-ac4f-2f739ef5ae07,10130.3608398438,777.971802193175
57,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,35d5ceb7-cdb5-4db7-bf01-0bc1db06e52f,184.7099609375,85.461056645917
58,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,82cface6-c65e-41d4-a4bc-2c7b54907f77,57.24951171875,33.5962707599736
59,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,c9e1a2e0-4f63-486f-8b2a-e2a4c2b5f0e0,312.0927734375,78.317234582948
60,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,5cb09b49-f188-4b2a-ac1b-5e69a9973043,238.9052734375,62.2498755007982
61,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,fa622ad1-34d9-4944-a6cb-4a5eb0e812cd,213.43310546875,58.4737529483696
