OBJECTID,Type,Status,SHAPE_Leng,Shape__Area,Shape__Length
1808,Woodland Deciduous Vegetation Area,New,84.1456857409,470.942626953125,84.1456857398912
1809,Woodland Deciduous Vegetation Area,New,88.7259524516,496.36083984375,88.7259524548811
1810,Woodland Deciduous Vegetation Area,New,1068.1132995,21920.1337890625,1068.11329949863
1811,Woodland Deciduous Vegetation Area,New,4015.43175578,118136.531005859,4015.43175579317
1812,Woodland Deciduous Vegetation Area,New,490.591508342,6650.96948242188,490.591508342502
1813,Woodland Deciduous Vegetation Area,New,306.689376406,2643.03247070313,306.689376406377
1814,Woodland Deciduous Vegetation Area,New,82.0654568636,489.762939453125,82.0654568655007
1815,Woodland Deciduous Vegetation Area,New,1144.38878816,7401.25366210938,1144.38878816851
1816,Woodland Deciduous Vegetation Area,New,105.630095851,808.342529296875,105.630095853749
1817,Woodland Deciduous Vegetation Area,New,806.669317312,13961.3618164063,806.669317293445
1818,Woodland Deciduous Vegetation Area,New,117.1293585,890.60302734375,117.129358503393
1819,Woodland Deciduous Vegetation Area,New,388.350128758,4588.99389648438,388.350128752074
1820,Woodland Deciduous Vegetation Area,New,749.405169432,11108.158203125,749.405169427845
1821,Woodland Deciduous Vegetation Area,New,464.347633649,5258.65502929688,464.347633646354
1822,Woodland Deciduous Vegetation Area,New,1237.61402323,8865.82055664063,1237.61402324311
1823,Woodland Deciduous Vegetation Area,New,673.17764034,14589.4582519531,673.177640332796
1824,Woodland Deciduous Vegetation Area,New,1080.95099582,14450.9086914063,1080.95099581237
1825,Woodland Deciduous Vegetation Area,New,325.48600435,2674.22265625,325.486004359221
1826,Woodland Deciduous Vegetation Area,New,754.437658228,9587.92114257813,754.437658229313
1827,Woodland Deciduous Vegetation Area,New,94.2128974796,615.442138671875,94.2128974767521
1828,Woodland Deciduous Vegetation Area,New,346.231809904,2596.51342773438,346.231809902736
1829,Woodland Deciduous Vegetation Area,New,794.73797249,11294.0122070313,794.737972499599
1830,Woodland Deciduous Vegetation Area,New,172.971288741,1264.3212890625,172.971288738848
1831,Woodland Deciduous Vegetation Area,New,181.628729826,1523.44213867188,181.628729824811
1832,Woodland Deciduous Vegetation Area,New,819.522061818,8178.88989257813,819.522061817869
1833,Woodland Deciduous Vegetation Area,New,76.2468667594,420.123779296875,76.246866752777
1834,Woodland Deciduous Vegetation Area,New,273.94626525,3299.5234375,273.946265249448
1835,Woodland Deciduous Vegetation Area,New,392.796271618,8446.45556640625,392.796271613543
1836,Woodland Deciduous Vegetation Area,New,434.763363968,8114.67578125,434.763363968506
1837,Woodland Deciduous Vegetation Area,New,119.028697,925.259521484375,119.028697000986
