OBJECTID,Type,Shape_Leng,Shape__Area,Shape__Length
235,Obscure Area Outlines,634.804230549,14096.3913574219,634.804230558627
236,Obscure Area Outlines,481.471416725,7577.37548828125,481.471416720228
237,Obscure Area Outlines,1408.95355392,63708.4096679688,1408.95355392267
238,Obscure Area Outlines,335.504478149,3995.04907226563,335.504478149257
239,Obscure Area Outlines,1747.25709302,69440.7517089844,1747.25709301653
240,Obscure Area Outlines,1238.0408801,33794.7280273438,1238.04088010524
241,Obscure Area Outlines,453.942787356,11385.6608886719,453.942787355856
242,Obscure Area Outlines,5133.53549401,382437.287841797,5133.53549400852
243,Obscure Area Outlines,1962.35404333,78591.8239746094,1962.35404334162
244,Obscure Area Outlines,737.321514931,30495.0610351563,737.321514931482
245,Obscure Area Outlines,728.9673877,29863.5871582031,728.967387697145
246,Obscure Area Outlines,459.604317173,12307.0510253906,459.6043171717
247,Obscure Area Outlines,234.728913378,3037.85864257813,234.728913378814
248,Obscure Area Outlines,1301.72798202,59516.0954589844,1301.72798201839
249,Obscure Area Outlines,752.633011069,31814.2785644531,752.633011071512
250,Obscure Area Outlines,515.369632085,12239.62109375,515.369632081348
251,Obscure Area Outlines,729.753720513,24593.8112792969,729.753720508908
252,Obscure Area Outlines,653.209367043,22468.2299804688,653.209367038315
253,Obscure Area Outlines,1201.63209513,61189.8864746094,1201.63209513642
254,Obscure Area Outlines,599.967210627,14237.2351074219,599.967210627973
255,Obscure Area Outlines,1881.08628379,77279.2600097656,1881.08628379407
256,Obscure Area Outlines,647.665057633,16961.9357910156,647.665057631442
257,Obscure Area Outlines,460.764906346,14704.94140625,460.764906346465
258,Obscure Area Outlines,2827.7036843,161707.922363281,2827.70368430604
259,Obscure Area Outlines,4299.27621473,209397.208740234,4299.27621474011
260,Obscure Area Outlines,720.537200219,33788.1228027344,720.537200214264
261,Obscure Area Outlines,546.038578773,14773.9150390625,546.03857876872
262,Obscure Area Outlines,682.687156943,18780.7099609375,682.687156949499
263,Obscure Area Outlines,424.238811641,9361.73266601563,424.238811639876
264,Obscure Area Outlines,634.924902028,18157.0859375,634.924902026876
265,Obscure Area Outlines,918.296807031,31876.5883789063,918.296807033214
266,Obscure Area Outlines,5037.02800278,309776.19140625,5037.02800276919
267,Obscure Area Outlines,1038.72124774,40987.2036132813,1038.72124773793
268,Obscure Area Outlines,1079.38668098,43727.6015625,1079.38668098176
269,Obscure Area Outlines,816.160325983,36955.1174316406,816.160325979027
270,Obscure Area Outlines,1994.17335879,83262.1782226563,1994.17335878893
271,Obscure Area Outlines,501.965376016,12999.3190917969,501.965376015791
272,Obscure Area Outlines,1491.4573329,75465.8757324219,1491.45733290657
273,Obscure Area Outlines,553.953775304,16501.9130859375,553.953775298676
274,Obscure Area Outlines,335.006179967,5234.43627929688,335.006179965552
275,Obscure Area Outlines,290.081857037,4374.99926757813,290.081857035416
276,Obscure Area Outlines,208.416027746,1949.9169921875,208.416027743748
277,Obscure Area Outlines,233.050661835,2846.58178710938,233.05066183959
278,Obscure Area Outlines,370.927712249,9778.603515625,370.927712251126
279,Obscure Area Outlines,1173.49538447,69078.9338378906,1173.4953844733
280,Obscure Area Outlines,565.920087928,15521.2897949219,565.920087923713
281,Obscure Area Outlines,391.046934721,8778.5947265625,391.046934724349
282,Obscure Area Outlines,485.063682096,14652.068359375,485.063682100586
283,Obscure Area Outlines,1558.49386875,61600.7976074219,1558.49386875789
284,Obscure Area Outlines,1181.2626059,46036.2546386719,1181.262605899
285,Obscure Area Outlines,346.710365569,5647.20141601563,346.710365574738
286,Obscure Area Outlines,79.2381297076,334.922607421875,79.2381297210026
287,Obscure Area Outlines,1861.24575242,57311.4187011719,1861.24575242811
288,Obscure Area Outlines,767.975528387,31068.9807128906,767.975528405097
289,Obscure Area Outlines,119.054979518,554.77197265625,119.05497953583
290,Obscure Area Outlines,269.191743709,3433.78149414063,269.191743704602
