OBJECTID,SEPRID,SEPRTYPE,STATEDAREA,SEPRTYPE2,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
282,1729701001,Mineral Right,30,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1266679.57617188,4549.77329827596
283,1727701002,Mineral Right,76,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3240549.68188477,7576.07291072251
284,1626701007,Mineral Right,10,10,,,AANDREWS,2018-07-13T19:56:44.000Z,367681.484375,3287.98573160606
285,1626701002,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1791575.9699707,5354.08024329185
286,1625701001,Mineral Right,53,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1955714.81494141,6332.87077802149
287,1730701001,Mineral Right,107.88,10,,,AANDREWS,2018-07-13T19:56:44.000Z,4798403.81713867,10161.1724376211
288,1727701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3439827.16357422,7833.2725148096
289,1627701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3493791.41235352,7942.10069106599
290,1627701004,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3469730.015625,7918.34896917418
291,1629701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3531425.8996582,8000.12507086995
292,1628701001,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,878691.121826172,3987.54772245878
293,1625701002,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7027301.26904297,10606.6142383925
294,1626701006,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1788689.29199219,5349.9853762633
295,1630701002,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3484799.75927734,7962.07860513197
296,1626701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3592725.59008789,8007.45881809833
297,1626701005,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1784377.06469727,5343.4715262614
298,1621701004,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3543226.22509766,7987.13044832801
