OBJECTID,DIVDSGNTR,BLKDSGNTR,DIVTYP,STATEDAREA,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
148,Public Right Of Way,,Public Right Of Way,0.5224 a,,,AANDREWS,2018-07-13T19:57:02.000Z,22755.8129882813,1445.38228656778
149,Public Right Of Way,,Public Right Of Way,0.2348 a,,,AANDREWS,2018-07-13T19:57:02.000Z,10229.2072753906,685.998524045805
150,Public Right Of Way,,Public Right Of Way,2.248 a,,,AANDREWS,2018-07-13T19:57:02.000Z,97961.9641113281,4716.93296892739
151,Public Right Of Way,,Public Right Of Way,9.065 a,,,AANDREWS,2018-07-13T19:57:02.000Z,394865.092529297,3384.24476336781
152,Public Right Of Way,,Public Right Of Way,1.908 a,,,AANDREWS,2018-07-13T19:57:02.000Z,83110.8488769531,3433.73031018175
153,Public Right Of Way,,Public Right Of Way,2.126 a,,,AANDREWS,2018-07-13T19:57:02.000Z,92565.8234863281,3819.79127376319
154,Public Right Of Way,,Public Right Of Way,6.430 a,,,AANDREWS,2018-07-13T19:57:02.000Z,280074.6953125,11494.6884908864
155,Public Right Of Way,,Public Right Of Way,1.206 a,,,AANDREWS,2018-07-13T19:57:02.000Z,52551.0732421875,1722.2658053602
156,Public Right Of Way,,Public Right Of Way,0.1995 a,,,AANDREWS,2018-07-13T19:57:02.000Z,8678.26025390625,512.590304941363
157,Public Right Of Way,,Public Right Of Way,1.852 a,,,AANDREWS,2018-07-13T19:57:02.000Z,80655.9382324219,4400.29036971586
158,Public Right Of Way,,Public Right Of Way,3.145 a,,,AANDREWS,2018-07-13T19:57:02.000Z,136980.874267578,1984.0752103479
159,Public Right Of Way,,Public Right Of Way,0.2628 a,,,AANDREWS,2018-07-13T19:57:02.000Z,11447.0522460938,620.882958247162
160,Public Right Of Way,,Public Right Of Way,0.1510 a,,,AANDREWS,2018-07-13T19:57:02.000Z,6567.64013671875,2658.88448336588
161,Public Right Of Way,,Public Right Of Way,2.642 a,,,AANDREWS,2018-07-13T19:57:02.000Z,115064.055908203,3058.03413322279
162,Public Right Of Way,,Public Right Of Way,3.320 a,,,AANDREWS,2018-07-13T19:57:02.000Z,144603.114257813,4966.27475056195
163,Public Right Of Way,,Public Right Of Way,0.3933 a,,,AANDREWS,2018-07-13T19:57:02.000Z,17134.3830566406,1083.77458556803
164,Public Right Of Way,,Public Right Of Way,0.2546 a,,,AANDREWS,2018-07-13T19:57:02.000Z,11058.5185546875,387.84214327738
165,Public Right Of Way,,Public Right Of Way,0.7104 a,,,AANDREWS,2018-07-13T19:57:02.000Z,30930.3483886719,1968.31128792773
166,Public Right Of Way,,Public Right Of Way,0.5278 a,,,AANDREWS,2018-07-13T19:57:02.000Z,22992.6218261719,1773.38339776974
167,Public Right Of Way,,Public Right Of Way,0.4402 a,,,AANDREWS,2018-07-13T19:57:02.000Z,19174.8249511719,1381.23941581392
168,Public Right Of Way,,Public Right Of Way,0.3917 a,,,AANDREWS,2018-07-13T19:57:02.000Z,17060.5759277344,3430.47929238484
169,Public Right Of Way,,Public Right Of Way,0.1506 a,,,AANDREWS,2018-07-13T19:57:02.000Z,6559.97509765625,1332.91808324949
170,Public Right Of Way,,Public Right Of Way,0.3818 a,,,AANDREWS,2018-07-13T19:57:02.000Z,16634.3916015625,3687.15375137582
171,Public Right Of Way,,Public Right Of Way,0.0199 a,,,AANDREWS,2018-07-13T19:57:02.000Z,868.39111328125,571.777552549057
172,Public Right Of Way,,Public Right Of Way,5.017 a,,,AANDREWS,2018-07-13T19:57:02.000Z,218664.832519531,6309.36150808745
173,Public Right Of Way,,Public Right Of Way,0.3021 a,,,AANDREWS,2018-07-13T19:57:02.000Z,13158.6926269531,739.138016340715
174,Public Right Of Way,,Public Right Of Way,1.104 a,,,AANDREWS,2018-07-13T19:57:02.000Z,48146.1003417969,2101.3526087607
175,Public Right Of Way,,Public Right Of Way,1.368 a,,,AANDREWS,2018-07-13T19:57:02.000Z,59564.0817871094,2924.62265974449
176,Public Right Of Way,,Public Right Of Way,1.468 a,,,AANDREWS,2018-07-13T19:57:02.000Z,63929.9475097656,2447.7267809309
177,Public Right Of Way,,Public Right Of Way,2.825 a,,,AANDREWS,2018-07-13T19:57:02.000Z,123054.832763672,5184.68470459792
178,Public Right Of Way,,Public Right Of Way,3.175 a,,,AANDREWS,2018-07-13T19:57:02.000Z,138324.376708984,8052.41420780333
179,Public Right Of Way,,Public Right Of Way,3.995 a,,,AANDREWS,2018-07-13T19:57:02.000Z,162675.006103516,2475.203241592
