OBJECTID,Status,Street,Block_Num,Area_Sq_Ft,Mowing,Weed_Spray,Fertilizer,Num_Trees,Tree_Trimming,Comments,MedianType,Compiler,Date_Modified,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Shape__Area,Shape__Length
76,Updated,,,,,,,,,concrete barrier,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,c7e3b691-03f3-4251-9628-86c851cf89e1,14925.9086914063,3409.59498228082
77,Updated,,,,,,,,,steel guard,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,0386ceef-bd74-40ca-be15-a9cbae5de8af,22196.7875976563,5750.08776305523
78,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,a25bca57-62c0-44ac-9bd0-ab0d12a19ddb,25762.216796875,2600.92405262909
79,Updated,,,,,,,,,steel guard ,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,6664d007-6b35-49c6-b4d0-8e855354e20a,5181.32983398438,2233.62350000945
80,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,d8bc8750-04f0-46a7-a62f-638123f8565d,1440.44799804688,286.809573807266
81,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,a82e6692-f240-4fa7-a369-26b3ef5d033d,2680.16040039063,569.337725131937
82,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,907b1c08-6048-42fb-9411-72ec7cc33dad,1587.59814453125,402.220172083774
83,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,bb452c26-caf3-4703-bccc-282d817e7b1a,11357.4975585938,1056.52839806895
84,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,abf6ee7b-9e83-42bb-bd03-5df810916907,19250.1208496094,1798.12314141769
85,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,df395d75-0880-49a0-b5f9-dab9b702e900,6940.333984375,805.831509952348
86,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,233f3c96-85cf-4370-9237-e962f9bc0104,3547.35961914063,773.288744091344
87,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,cbfc6167-aa0c-42cf-92f5-a835a2ca1f1d,899.639892578125,467.958246332364
88,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-02T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,d747a2dd-2da9-4288-8701-cd390e9316e9,1710.69555664063,768.097992206886
89,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-02T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,46546199-e99d-4342-b37a-e0c2dc4a5e73,3233.16235351563,1417.58408281755
90,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-02T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,d190e869-61e8-4a26-bf69-25df530f2f58,3972.44482421875,1481.04382929465
91,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-02T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,78d2bf27-d944-4ff1-8a13-e2b3e1a3d643,545.83154296875,96.8468786872766
92,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-02T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,9e6696ad-faa1-4281-80f9-5fe7ed14aa30,439.551025390625,93.6973719568561
93,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-02T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,60ecf32a-686e-4aac-bc28-50d6385fb4fd,217.18798828125,57.3287059472594
94,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-02T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,10a184dd-0ffb-4fb1-83bb-4f8cc9119d83,4731.44409179688,897.392322403372
95,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-02T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,ddfe68a4-da26-40bd-9c91-4e7d0e608bc3,246.87939453125,65.4901709125725
96,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-02T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,95f3212e-f7f4-417b-a4b5-5e455adfe160,1235.76684570313,154.470822375734
97,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-02T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,4b0d8836-11ef-4980-8366-cf0627749afc,1845.98291015625,662.541897700232
98,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-02T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,2e3d1fe7-366b-4a49-bd6d-e994a6b60a9e,38.629150390625,29.8679602154311
99,Updated,,,,,,,,,,Grass,C.Wrice,2012-11-02T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,e622468d-dd18-4b99-8995-4d5bb1003b9c,18442.2006835938,1544.51414946556
100,Updated,,,,,,,,,,Grass,C.Wrice,2012-11-02T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,51055b23-d4ea-48d4-a894-94467962ad82,1589.1689453125,426.159882654145
