OBJECTID,ENCUMID,SRCREF,ENCUMTYPE,STATEDAREA,LASTUPDATE,LASTEDITOR,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
160,0318200010,,Lease,0.23,,,,,AANDREWS,2018-07-13T19:57:03.000Z,10000.0473632813,400.000951815096
161,0311400003,,Lease,9.15,,,,,AANDREWS,2018-07-13T19:57:03.000Z,399407.081298828,6715.58446860066
162,0509200014,,Lease,120.3,,,,,AANDREWS,2018-07-13T19:57:03.000Z,1132063.11083984,4448.02968708573
163,0509200014,,Lease,120.3,,,,,AANDREWS,2018-07-13T19:57:03.000Z,637006.663818359,4098.34131218609
164,1235200012,,Lease,21.1,,,,,AANDREWS,2018-07-13T19:57:20.000Z,711791.555419922,5928.84661463945
165,1235200012,,Lease,21.1,,,,,AANDREWS,2018-07-13T19:57:20.000Z,145573.346191406,1607.42085639234
166,0716400002,,Lease,181.3,,,,,AANDREWS,2018-07-13T19:57:20.000Z,875951.490722656,4747.60147891391
167,0716400002,,Lease,181.3,,,,,AANDREWS,2018-07-13T19:57:20.000Z,636491.752929688,3554.78786749458
168,0716400002,,Lease,181.3,,,,,AANDREWS,2018-07-13T19:57:20.000Z,599929.066650391,3371.88346504845
169,1434200007_(1),,Lease,0.0574 a,,,GISWORKSTATION,2017-05-03T17:53:45.000Z,AANDREWS,2018-07-13T19:57:20.000Z,2499.99951171875,199.99996210467
