OBJECTID,Form,Id,ORIG_FID,GlobalID,Shape__Area,Shape__Length
103,Village Municipal Limits,1,1,5e6bccf8-4bb1-45e4-903f-f2dfefc8a751,25033507.6953125,29452.2682215775
104,Village Municipal Limits,1,1,7cbf8344-f70a-4bc7-a399-71387284e959,24550456.0983887,51706.6004990234
105,Village Municipal Limits,1,1,3e770e1e-cf2d-44e5-9176-c0f2958df593,4579663.28222656,9786.89292268243
106,Village Municipal Limits,1,1,4f0c3218-b333-45a7-96df-2e1681fb43a4,13294678.3989258,20563.7937786633
107,Village Municipal Limits,1,1,9ca257f6-402e-429a-97d5-3db6f440dd3e,53028002.1157227,69217.1782849301
108,Village Municipal Limits,1,1,b173acfb-dbf0-401e-94ff-7dc705c9ea6b,8506799.58740234,12977.683921524
109,Village Municipal Limits,1,1,f16e5f1e-92b3-484f-af2b-e66c8ab52440,44271724.1396484,36348.696987987
110,Village Municipal Limits,1,1,393f846e-e811-4500-98ea-25206915ab8f,20764552.7143555,39494.4046338155
111,Village Municipal Limits,1,1,8748f3ac-ee66-4b50-bd67-d7738a09413d,14221287.5979004,24652.1043641516
112,Village Municipal Limits,1,1,83862b30-494c-41d5-a70d-9344195e9846,46464155.083252,45646.3991781849
577,Unincorporated Center,1,1,75fb8fbf-59ae-4bc6-867e-f50fbf44b3a8,2529989.06689453,17277.8053307531
578,Unincorporated Center,1,1,b86c4f08-959f-425c-b065-2409fe51c519,793103.937255859,7832.82945139835
579,Unincorporated Center,1,1,7a5c7d94-69a1-4c3d-a433-e24274c2bec2,21294255.1635742,29083.3876551612
580,Unincorporated Center,1,1,c8dc0b57-7690-44c7-bd0d-338968d0462c,7795.66064453125,1213.48168215385
581,Unincorporated Center,1,1,e115f30d-5283-4e5e-b1ca-85f1fa239837,138289.720947266,1612.59566397194
582,Unincorporated Center,1,1,a49ef274-1596-4d78-8230-16cb5791e963,699111.129638672,3896.5815188928
583,Unincorporated Center,1,1,fe347b9f-d2b2-45f4-8afa-ade73da2dec0,1696826.41162109,6298.01347545033
584,Unincorporated Center,1,1,c34dc44c-05eb-473c-b541-331e851b8d79,2059502.45263672,6624.45209144024
585,Unincorporated Center,1,1,88f0c1be-e404-4254-b073-ce2948526af0,7753549.76025391,12422.5723013016
586,Unincorporated Center,1,1,37aeaf50-55ed-4469-8c7a-e3a3b979a9b3,4761021.72827148,9125.17225734795
587,Unincorporated Center,1,1,0e195dd8-18f5-4adc-b6c9-e83049c103d0,4456952.83227539,9600.03301676201
588,Unincorporated Center,1,1,d42d3c87-2ccd-4eb7-900e-cf38fee04a4d,871225.519287109,3785.17979249174
589,Unincorporated Center,1,1,014eb068-d00f-4944-bd85-b68ec8b8bcbf,4115044.83642578,8575.12301722645
590,Unincorporated Center,1,1,a9bc363f-a65c-4760-9f52-9287519fb9fb,21840731.3212891,24514.2598409576
591,Unincorporated Center,1,1,d55894c0-1079-4e53-86bc-d5a06adce6ba,4012252.91064453,9459.42926203952
592,Unincorporated Center,1,1,9b0471b0-5c89-4210-8469-c178e5e6797a,2873465.18041992,8225.28897149735
593,Unincorporated Center,1,1,cd5dc85d-0abe-4f49-9c6d-af451cf33e77,458110.466796875,2785.27985644019
594,Unincorporated Center,1,1,7b0f54c7-3a95-4491-a101-0560e9cdf8d0,6631982.73193359,12577.5875019285
595,Environmental Corridors,1,1,9105efd0-deca-4885-83d0-d581c5aced2d,449387.520019531,4425.75297792495
596,Environmental Corridors,1,1,9dba98b7-75bb-4d6d-86f4-312bde0b4da2,870592.323974609,5787.94086855799
597,Environmental Corridors,1,1,7c716fcd-a31a-4714-b1d7-f6f516cbb021,219099.554199219,2141.25077942488
598,Environmental Corridors,1,1,dd99e48d-13f3-45a9-9cd8-f68468391e3a,339736.535644531,3071.1774816486
599,Environmental Corridors,1,1,a9a536a6-285f-4bdf-9400-17444d3c3687,211217.509033203,2797.54705947431
600,Environmental Corridors,1,1,09bac2c2-2e8a-4b30-8230-bad742ae8950,197464.691650391,2413.18158370183
601,Environmental Corridors,1,1,f40793d1-9731-4ee1-9a27-c563053e848e,1211325.28710938,7736.58251758775
602,Environmental Corridors,1,1,81e7deea-56e1-4bd2-ab4e-c9f03862e1c5,264917.973632813,2694.79474414593
603,Environmental Corridors,1,1,e779fa6d-1ddc-40aa-8bdc-75f26d957049,2229316.96411133,10458.0144883931
604,Environmental Corridors,1,1,5e274c14-0653-4f69-bccd-840a31a7b701,10732.3295898438,941.688912278555
605,Environmental Corridors,1,1,c00e0f78-b9d6-4eaf-adc8-6b13b7039970,220555.174072266,2495.19210830192
606,Environmental Corridors,1,1,ff85aef9-c23a-42b2-b3ae-6722b6b13137,5469223.43530273,31498.6270763561
607,Environmental Corridors,1,1,8ac09cb9-d803-4b26-bc72-88224fbcc501,560342.728027344,4735.66835258399
608,Environmental Corridors,1,1,affe20e4-e773-4f74-9cb6-459904c7dd5a,608424.921142578,6747.93730245016
609,Environmental Corridors,1,1,508d942c-9474-483a-b04b-1d4db447c27c,3806.13671875,309.450163650084
610,Environmental Corridors,1,1,260fe239-1524-4351-baa4-c7e21f5baed8,19089.0246582031,569.735525570256
611,Environmental Corridors,1,1,b298c45e-d4c7-4b85-9447-33abdbb1da2c,402276.344726563,5782.17059214928
612,Environmental Corridors,1,1,1369ac19-87db-43ac-8b1a-3f8edda7639e,261514.057128906,2859.26290198803
613,Environmental Corridors,1,1,da247fa8-ac2d-40f4-9607-8658f521f0bc,584961.355224609,5678.515091179
614,Environmental Corridors,1,1,55027dcb-44f4-478f-a133-e902f335514b,16740559.0219727,83019.6293500269
615,Environmental Corridors,1,1,b83efa0c-ad5d-46d2-b491-db72183e34dd,224183.148193359,2613.94627632031
616,Environmental Corridors,1,1,6d054f46-0133-421c-8716-308a98250f99,477860.525146484,4035.5863654347
617,Environmental Corridors,1,1,2d411b6d-3bcc-40e0-b02a-b7d641d4f1e0,182333.584960938,1930.19066550656
618,Environmental Corridors,1,1,15bdb426-4941-46bb-8b7e-fe3702c573d3,923700.880126953,6599.53135397746
619,Environmental Corridors,1,1,c702152c-bf74-4a09-89cd-5d0725485df0,4213702.62744141,18844.899987403
620,Environmental Corridors,1,1,dd00c560-51f6-4d31-a4a2-305b46486a86,452774.444580078,3677.12422289133
621,Environmental Corridors,1,1,33e3578d-82af-4426-9f1a-eb999ea588fd,203592.683349609,1957.64871741665
622,Environmental Corridors,1,1,567e7664-b138-4763-a79a-d1dcc32e5a22,253369.446533203,2854.99501615766
623,Environmental Corridors,1,1,9570fae4-b1b0-41fb-b775-c48e396e2c71,613640.084716797,5852.9734755634
624,Environmental Corridors,1,1,d1391105-41ff-4946-a2c3-bf4e35ce2094,865205.829589844,4951.99539703503
625,Environmental Corridors,1,1,4a315b18-2715-424a-9413-4e3bc37fce4d,196947.813720703,2937.58026985124
626,Environmental Corridors,1,1,f029f53a-12d1-4303-a91b-cf657d0bfa29,526870.031738281,4403.35364723553
627,Environmental Corridors,1,1,ed5d6b40-94c9-4d7b-b642-8df031d56cba,308.440673828125,88.9115372187675
628,Environmental Corridors,1,1,8c3f591b-6fde-45b2-9c15-67e2962fdc53,32111.5710449219,932.434993219273
629,Environmental Corridors,1,1,61008065-1aab-451f-a887-0f7915835cd0,255888.97265625,2636.00417685644
630,Environmental Corridors,1,1,af398331-e3a5-4a74-9cde-55981f2c2671,217271.252197266,2752.3805387893
631,Environmental Corridors,1,1,8f3232c6-3ce2-48d2-8c90-e0b58adbfd7e,5934.568359375,534.341158223518
632,Environmental Corridors,1,1,5d698d06-6283-463a-8298-2d83e3f5d885,16833.6765136719,603.939995134266
633,Environmental Corridors,1,1,18d0cf88-4f03-4e46-9493-c35fe747e851,334.314453125,141.841011769386
